Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare
no,c,Mr.,male,22,1,0,7.25
yes,a,Mrs.,female,38,1,0,71.2833
yes,c,Miss.,female,26,0,0,7.925
yes,a,Mrs.,female,35,1,0,53.1
no,c,Mr.,male,35,0,0,8.05
no,c,Mr.,male,,0,0,8.4583
no,a,Mr.,male,54,0,0,51.8625
no,c,Master,male,2,3,1,21.075
yes,c,Mrs.,female,27,0,2,11.1333
yes,b,Mrs.,female,14,1,0,30.0708
yes,c,Miss.,female,4,1,1,16.7
yes,a,Miss.,female,58,0,0,26.55
no,c,Mr.,male,20,0,0,8.05
no,c,Mr.,male,39,1,5,31.275
no,c,Miss.,female,14,0,0,7.8542
yes,b,Mrs.,female,55,0,0,16
no,c,Master,male,2,4,1,29.125
yes,b,Mr.,male,,0,0,13
no,c,Mrs.,female,31,1,0,18
yes,c,Mrs.,female,,0,0,7.225
no,b,Mr.,male,35,0,0,26
yes,b,Mr.,male,34,0,0,13
yes,c,Miss.,female,15,0,0,8.0292
yes,a,Mr.,male,28,0,0,35.5
no,c,Miss.,female,8,3,1,21.075
yes,c,Mrs.,female,38,1,5,31.3875
no,c,Mr.,male,,0,0,7.225
no,a,Mr.,male,19,3,2,263
yes,c,Miss.,female,,0,0,7.8792
no,c,Mr.,male,,0,0,7.8958
no,a,noble,male,40,0,0,27.7208
yes,a,Mrs.,female,,1,0,146.5208
yes,c,Miss.,female,,0,0,7.75
no,b,Mr.,male,66,0,0,10.5
no,a,Mr.,male,28,1,0,82.1708
no,a,Mr.,male,42,1,0,52
yes,c,Mr.,male,,0,0,7.2292
no,c,Mr.,male,21,0,0,8.05
no,c,Miss.,female,18,2,0,18
yes,c,Miss.,female,14,1,0,11.2417
no,c,Mrs.,female,40,1,0,9.475
no,b,Mrs.,female,27,1,0,21
no,c,Mr.,male,,0,0,7.8958
yes,b,Miss.,female,3,1,2,41.5792
yes,c,Miss.,female,19,0,0,7.8792
no,c,Mr.,male,,0,0,8.05
no,c,Mr.,male,,1,0,15.5
yes,c,Miss.,female,,0,0,7.75
no,c,Mr.,male,,2,0,21.6792
no,c,Mrs.,female,18,1,0,17.8
no,c,Master,male,7,4,1,39.6875
no,c,Mr.,male,21,0,0,7.8
yes,a,Mrs.,female,49,1,0,76.7292
yes,b,Mrs.,female,29,1,0,26
no,a,Mr.,male,65,0,1,61.9792
yes,a,Mr.,male,,0,0,35.5
yes,b,Miss.,female,21,0,0,10.5
no,c,Mr.,male,28.5,0,0,7.2292
yes,b,Miss.,female,5,1,2,27.75
no,c,Master,male,11,5,2,46.9
no,c,Mr.,male,22,0,0,7.2292
yes,a,Miss.,female,38,0,0,80
no,a,Mr.,male,45,1,0,83.475
no,c,Master,male,4,3,2,27.9
no,a,Mr.,male,,0,0,27.7208
